symbol,positive,negative,neutral
1INCH,0.26315789473684204,0.09210526315789401,0.644736842105263
ADADOWN,0.185185185185185,0.037037037037037,0.777777777777777
AERGO,0.48101265822784806,0.063291139240506,0.45569620253164506
AST,0.223684210526315,0.09210526315789401,0.684210526315789
CKB,0.4,0.12,0.48
COS,0.044776119402985,0.0,0.955223880597014
CTXC,0.24637681159420202,0.11594202898550701,0.637681159420289
DGB,0.461538461538461,0.06153846153846101,0.47692307692307606
DNT,0.3125,0.15625,0.53125
ENJ,0.403846153846153,0.019230769230769003,0.5769230769230761
FTM,0.341176470588235,0.129411764705882,0.529411764705882
GTO,0.170212765957446,0.063829787234042,0.7659574468085101
IQ,0.339285714285714,0.053571428571428006,0.6071428571428571
KMD,0.15625,0.03125,0.8125
LRC,0.23809523809523803,0.063492063492063,0.698412698412698
MANA,0.390243902439024,0.048780487804878,0.5609756097560971
MDT,0.2,0.0,0.8
POA,0.105263157894736,0.013157894736842,0.881578947368421
POWR,0.210526315789473,0.052631578947368,0.7368421052631581
QKC,0.43,0.07,0.5
REQ,0.448717948717948,0.128205128205128,0.423076923076923
RUNE,0.47222222222222204,0.08333333333333301,0.44444444444444403
SCRT,0.313253012048192,0.5542168674698791,0.132530120481927
SKL,0.25862068965517204,0.086206896551724,0.6551724137931031
SUN,0.21111111111111103,0.14444444444444401,0.644444444444444
TKO,0.11904761904761901,0.047619047619047006,0.833333333333333
XLMDOWN,0.128205128205128,0.051282051282051,0.82051282051282
XRP,0.36781609195402304,0.126436781609195,0.505747126436781
XTZ,0.536842105263157,0.11578947368421001,0.34736842105263105
ZRX,0.157894736842105,0.073684210526315,0.768421052631578
